,Sentence,Technique
0,appeared,Doubt
2,"the nation that gave the world the Magna Carta is dead""",Loaded_Language
3,"The UK should never become a stage for inflammatory speakers who promote hate.""",Jingoism
5,"delighted"" with the decision",Loaded_Language
6,a striking blow against freedom,Loaded_Language
8,hair trigger in single-action mode,Loaded_Language
13,a complete travesty of justice,Loaded_Language
14,firestorm of outrage,Loaded_Language
15,alien,Loaded_Language
17,"aggressively stuck his tongue in my mouth""",Loaded_Language
18,"wet, open-mouthed kiss""",Loaded_Language
19,"and squeezed ""at least twice""",Loaded_Language
21,Exploding in Trump’s Face,Loaded_Language
22,the biggest political gift possible,Hyperbole
23,complete hash,Loaded_Language
24,how badly Trump does his job,Doubt
25,reflected the reality-TV star’s weakness as a presidential candidate,Doubt
27,Trump is easily manipulated by those around him,Doubt
28,cut-of-his-jib test,Loaded_Language
29,severe trouble,Loaded_Language
30,Trump hasn’t learned it yet,Doubt
31,extremely high-profile episode,Hyperbole
32,Trump and his White House staff failed to do their jobs,Doubt
33,a slur on all women,Loaded_Language
35,ugly ways,Loaded_Language
36,cut-of-his-jib test,Loaded_Language
38,hazy old-time Hollywood casting,Loaded_Language
39,bombshells,Loaded_Language
41,hypocritical,Loaded_Language
42,has blasted,Loaded_Language
43,are blasting,Loaded_Language
45,sheer number,Hyperbole
46,Agencies scramble,Loaded_Language
47,were scrambling,Loaded_Language
48,has hamstrung the administration for more than 18 months,Loaded_Language
51,are touting the president’s order,Loaded_Language
53,a red line that must not be crossed,Loaded_Language
54,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,Doubt
57,unprecedented,Loaded_Language
58,surreal,Loaded_Language
59,culminated,Loaded_Language
60,fulsome,Loaded_Language
61,triumphant,Loaded_Language
62,extraordinary,Loaded_Language
65,dramatic,Loaded_Language
66,forever,Hyperbole
68,unwavering,Loaded_Language
70,unthinkable,Loaded_Language
71,acrimonious,Loaded_Language
72,big problem,Loaded_Language
73,big dilemma,Loaded_Language
74,increasing the drama,Loaded_Language
75,historic,Loaded_Language
76,surreality,Loaded_Language
77,hailed,Loaded_Language
80,brutal,Loaded_Language
81,praising,Loaded_Language
84,striking,Loaded_Language
85,fierce criticism,Loaded_Language
86,fearsome renegade,Loaded_Language
87,"""absolutely""",Loaded_Language
88,heralded a new era,Hyperbole
90,The world,Hyperbole
91,our soldiers,Jingoism
94,world-altering,Hyperbole
97,foundation of lies,Loaded_Language
98,huge,Loaded_Language
101,strongly,Loaded_Language
102,pretty clear,Loaded_Language
104,"very, very",Loaded_Language
105,extremely,Loaded_Language
106,ominous encroachment,Loaded_Language
107,grandstanding,Loaded_Language
108,ballooned,Loaded_Language
109,testy,Loaded_Language
110,ire,Loaded_Language
111,insults,Loaded_Language
112,overly aggressive,Loaded_Language
114,severe,Loaded_Language
115,flouts,Loaded_Language
117,willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange,Hyperbole
121,filth and degenerate behavior,Loaded_Language
123,fervently,Loaded_Language
124,condemn,Loaded_Language
126,outspokenly and flagrantly anti-Zionist,Loaded_Language
127,his 1984 description of Adolf Hitler as “a very great man,Hyperbole
128,to condemn,Loaded_Language
129,make me shudder,Loaded_Language
130,harmful and divisive views,Loaded_Language
131,an “outstanding human being,Hyperbole
132,wildly,Loaded_Language
